Id,Traj.,Status,Case ID,SIE Case,Customer,Top Acc,Geo,Cntry/State
TE-2601KX9SZ,Neutral,Working,5400026039,SIE299943,Microsoft AB,,Europe North West,Sweden
TE-2601LC2CS,Neutral,Working,5393678475,,UK Atomic Energy Authority (UKAEA),,UKIMEA,United Kingdom
TE-2601LD8SR,Improving,Monitoring,5400812040,,TRISERVE TECH/TRIPLE S,,Latin America,Puerto Rico
TE-2601LR3NZ,Neutral,Working,5400776147,,Telia Company AB (prev: TeliaSonera AB),Yes,Europe North West,Sweden
TE-2601NZ3XZ,Improving,Working,5400702977,SIE300638,Aruba SpA,,Europe South,Italy
TE-2601PC7WJ,Neutral,Working,5393811690,SIE299636,MCAP Service Corporation,,North America,Ontario
TE-2601PQ7SZ,Neutral,Working,5400152499,SIE300570,Groupama Holding Filiales et Participations,,Europe North West,France
TE-2601PV5TQ,Improving,Working,5393721766,SIE299449,Nokia Solutions and Networks Oy,,Europe North West,Finland
TE-2601PX4XN,Neutral,Working,5392267634,SIE296388,National Institute of Information and Communications Technology (NIICT),,Japan,Japan
TE-2601QL8KV,Neutral,Working,5400191426,SIE299870,Internet Initiative Japan Inc. (IIJ),Yes,Japan,Japan
TE-2601QX8VL,Neutral,Working,5393657642,SIE299762,Food Safety Authority of Ireland,,UKIMEA,Ireland
TE-2601RQ6MW,Neutral,Working,5400507401,SIE300500,Direction Generale des Finances Publiques (DGFIP),,Europe North West,France
TE-2601TD7RT,Improving,Working,5392206691,SIE296337,SK Hynix Semiconductor (Chongqing) Limited,,China,China
TE-2601TK2XC,Improving,Working,5400300573,SIE300315 ,Digicel (PNG) Limited,,APAC,Australia
TE-2601TM7MB,Improving,Working,5392907034,SIE298700,Facebook Malaysia Sdn. Bhd.,,APAC,Malaysia
TE-2601TT5KK,Neutral,Working,5400132716,SIE299481,Sure (Guernsey) Limited,,UKIMEA,United Kingdom
TE-2601TV7ZS,Neutral,Working,5400637604,,Industria de Diseño Textil SA (Inditex),,Europe South,Spain
TE-2601TY8NP,Improving,Working,5400634714,,"Triara.com, S.A. de C.V.",,Latin America,Mexico
TE-2601VR3LD,Improving,Working,5391847953,,Fortum Power and Heat Oy (Fortum Lämpö),,Europe North West,Finland
TE-2601WF7PX,,Working,00288945,,Oceanfirst Bank,,North America,New Jersey
TE-2601WF7XV,Improving,Working,5392568188,SIE299500,iLink Systems Limited,,Europe Central,Malta
TE-2601WH9WZ,Improving,Working,5400533001,,DHL Information Services (Europe) s.r.o.,Yes,Europe Central,Czech Republic
TE-2601WL9ZS,Improving,Working,5393549554,SIE298670,Euro Information (EI),,Europe North West,France
TE-2601YF4BW,Improving,Working,5400446631,,"HP, Inc.",Yes,North America,Texas
TE-2601YF5NK,Improving,Working,5400895208,SIE300754,Tesco PLC,Yes,UKIMEA,United Kingdom
TE-2601YR6FQ,Neutral,Working,5390704327,SIE294873,"Advanced Micro Devices, Inc (AMD)",,North America,Texas
TE-2601ZJ3FQ,Neutral,Working,5400385512,,Kompania Piwowarska S A,,Europe Central,Poland
TE-2601ZT2YH,Neutral,Working,5400467482,SIE300632,MLB Limited (Sportingbet Ireland),,UKIMEA,Ireland
TE-2601ZX7GB,Improving,Working,5400328656,,ALTEUS REMEDIES PRIVATE LIMITED,,India,India
